project,bug_id,mutant_no,operator,from,to,class,line,code_context,status,killed
Chart,17,12,LVR,0,NEG,org.jfree.data.time.TimeSeries,275,"     *
     * @param maximum  the maximum (requires >= 0).
     * 
     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);",LIVE,0
Chart,17,13,ROR,"<(int,int)","!=(int,int)",org.jfree.data.time.TimeSeries,275,"     *
     * @param maximum  the maximum (requires >= 0).
     * 
     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);",EXC,1
Chart,17,14,ROR,"<(int,int)","<=(int,int)",org.jfree.data.time.TimeSeries,275,"     *
     * @param maximum  the maximum (requires >= 0).
     * 
     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);",LIVE,0
Chart,17,15,ROR,"<(int,int)","FALSE(int,int)",org.jfree.data.time.TimeSeries,275,"     *
     * @param maximum  the maximum (requires >= 0).
     * 
     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);",LIVE,0
Chart,17,16,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,278,"     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }
",FAIL,1
Chart,17,17,ROR,">(int,int)","!=(int,int)",org.jfree.data.time.TimeSeries,280,"    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.",EXC,1
Chart,17,18,ROR,">(int,int)",">=(int,int)",org.jfree.data.time.TimeSeries,280,"    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.",LIVE,0
Chart,17,19,ROR,">(int,int)","FALSE(int,int)",org.jfree.data.time.TimeSeries,280,"    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.",FAIL,1
Chart,17,20,LVR,0,POS,org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,21,LVR,0,NEG,org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",EXC,1
Chart,17,22,AOR,"-(int,int)","%(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",LIVE,0
Chart,17,23,AOR,"-(int,int)","*(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",EXC,1
Chart,17,24,AOR,"-(int,int)","+(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",EXC,1
Chart,17,25,AOR,"-(int,int)","/(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,26,LVR,POS,0,org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,27,LVR,POS,NEG,org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,28,AOR,"-(int,int)","%(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,29,AOR,"-(int,int)","*(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,30,AOR,"-(int,int)","+(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,31,AOR,"-(int,int)","/(int,int)",org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,32,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,281,"        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);
        }
    }

    /**
     * Returns the maximum item age (in time periods) for the series.
     *",FAIL,1
Chart,17,33,LVR,0,POS,org.jfree.data.time.TimeSeries,309,"     *
     * @param periods  the number of time periods.
     * 
     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }
",EXC,1
Chart,17,34,LVR,0,NEG,org.jfree.data.time.TimeSeries,309,"     *
     * @param periods  the number of time periods.
     * 
     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }
",LIVE,0
Chart,17,35,ROR,"<(long,long)","!=(long,long)",org.jfree.data.time.TimeSeries,309,"     *
     * @param periods  the number of time periods.
     * 
     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }
",EXC,1
Chart,17,36,ROR,"<(long,long)","<=(long,long)",org.jfree.data.time.TimeSeries,309,"     *
     * @param periods  the number of time periods.
     * 
     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }
",EXC,1
Chart,17,37,ROR,"<(long,long)","FALSE(long,long)",org.jfree.data.time.TimeSeries,309,"     *
     * @param periods  the number of time periods.
     * 
     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }
",LIVE,0
Chart,17,38,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,312,"     * @see #getMaximumItemAge()
     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }

    /**
     * Returns the time period class for this series.
     * <p>",FAIL,1
Chart,17,39,LVR,TRUE,FALSE,org.jfree.data.time.TimeSeries,313,"     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }

    /**
     * Returns the time period class for this series.
     * <p>
     * Only one time period class can be used within a single series (enforced).",FAIL,1
Chart,17,40,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,313,"     */
    public void setMaximumItemAge(long periods) {
        if (periods < 0) {
            throw new IllegalArgumentException(""Negative 'periods' argument."");
        }
        this.maximumItemAge = periods;
        removeAgedItems(true);  // remove old items and notify if necessary
    }

    /**
     * Returns the time period class for this series.
     * <p>
     * Only one time period class can be used within a single series (enforced).",FAIL,1
Chart,17,41,LVR,0,POS,org.jfree.data.time.TimeSeries,354,"     *         <code>null</code> if there is no match).
     *
     * @see #getDataItem(int)
     */
    public TimeSeriesDataItem getDataItem(RegularTimePeriod period) {
        int index = getIndex(period);
        if (index >= 0) {
            return (TimeSeriesDataItem) this.data.get(index);
        }
        else {
            return null;
        }
    }",LIVE,0
Chart,17,42,LVR,0,NEG,org.jfree.data.time.TimeSeries,354,"     *         <code>null</code> if there is no match).
     *
     * @see #getDataItem(int)
     */
    public TimeSeriesDataItem getDataItem(RegularTimePeriod period) {
        int index = getIndex(period);
        if (index >= 0) {
            return (TimeSeriesDataItem) this.data.get(index);
        }
        else {
            return null;
        }
    }",EXC,1
Chart,17,43,ROR,">=(int,int)","==(int,int)",org.jfree.data.time.TimeSeries,354,"     *         <code>null</code> if there is no match).
     *
     * @see #getDataItem(int)
     */
    public TimeSeriesDataItem getDataItem(RegularTimePeriod period) {
        int index = getIndex(period);
        if (index >= 0) {
            return (TimeSeriesDataItem) this.data.get(index);
        }
        else {
            return null;
        }
    }",LIVE,0
Chart,17,44,ROR,">=(int,int)",">(int,int)",org.jfree.data.time.TimeSeries,354,"     *         <code>null</code> if there is no match).
     *
     * @see #getDataItem(int)
     */
    public TimeSeriesDataItem getDataItem(RegularTimePeriod period) {
        int index = getIndex(period);
        if (index >= 0) {
            return (TimeSeriesDataItem) this.data.get(index);
        }
        else {
            return null;
        }
    }",LIVE,0
Chart,17,45,ROR,">=(int,int)","TRUE(int,int)",org.jfree.data.time.TimeSeries,354,"     *         <code>null</code> if there is no match).
     *
     * @see #getDataItem(int)
     */
    public TimeSeriesDataItem getDataItem(RegularTimePeriod period) {
        int index = getIndex(period);
        if (index >= 0) {
            return (TimeSeriesDataItem) this.data.get(index);
        }
        else {
            return null;
        }
    }",EXC,1
Chart,17,46,LVR,POS,0,org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,47,LVR,POS,NEG,org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,48,AOR,"-(int,int)","%(int,int)",org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,49,AOR,"-(int,int)","*(int,int)",org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,50,AOR,"-(int,int)","+(int,int)",org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,51,AOR,"-(int,int)","/(int,int)",org.jfree.data.time.TimeSeries,380,"     * Returns a time period that would be the next in sequence on the end of
     * the time series.
     *
     * @return The next time period.
     */
    public RegularTimePeriod getNextTimePeriod() {
        RegularTimePeriod last = getTimePeriod(getItemCount() - 1);
        return last.next();
    }

    /**
     * Returns a collection of all the time periods in the time series.
     *",UNCOV,0
Chart,17,52,LVR,0,POS,org.jfree.data.time.TimeSeries,391,"     * Returns a collection of all the time periods in the time series.
     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**",UNCOV,0
Chart,17,53,LVR,0,NEG,org.jfree.data.time.TimeSeries,391,"     * Returns a collection of all the time periods in the time series.
     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**",UNCOV,0
Chart,17,54,ROR,"<(int,int)","!=(int,int)",org.jfree.data.time.TimeSeries,391,"     * Returns a collection of all the time periods in the time series.
     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**",UNCOV,0
Chart,17,55,ROR,"<(int,int)","<=(int,int)",org.jfree.data.time.TimeSeries,391,"     * Returns a collection of all the time periods in the time series.
     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**",UNCOV,0
Chart,17,56,ROR,"<(int,int)","FALSE(int,int)",org.jfree.data.time.TimeSeries,391,"     * Returns a collection of all the time periods in the time series.
     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**",UNCOV,0
Chart,17,57,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,392,"     *
     * @return A collection of all the time periods.
     */
    public Collection getTimePeriods() {
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < getItemCount(); i++) {
            result.add(getTimePeriod(i));
        }
        return result;
    }

    /**
     * Returns a collection of time periods in the specified series, but not in",UNCOV,0
Chart,17,58,LVR,0,POS,org.jfree.data.time.TimeSeries,408,"     *
     * @return The unique time periods.
     */
    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }",UNCOV,0
Chart,17,59,LVR,0,NEG,org.jfree.data.time.TimeSeries,408,"     *
     * @return The unique time periods.
     */
    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }",UNCOV,0
Chart,17,60,ROR,"<(int,int)","!=(int,int)",org.jfree.data.time.TimeSeries,408,"     *
     * @return The unique time periods.
     */
    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }",UNCOV,0
Chart,17,61,ROR,"<(int,int)","<=(int,int)",org.jfree.data.time.TimeSeries,408,"     *
     * @return The unique time periods.
     */
    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }",UNCOV,0
Chart,17,62,ROR,"<(int,int)","FALSE(int,int)",org.jfree.data.time.TimeSeries,408,"     *
     * @return The unique time periods.
     */
    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }",UNCOV,0
Chart,17,63,LVR,0,POS,org.jfree.data.time.TimeSeries,411,"    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }",UNCOV,0
Chart,17,64,LVR,0,NEG,org.jfree.data.time.TimeSeries,411,"    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }",UNCOV,0
Chart,17,65,ROR,"<(int,int)","!=(int,int)",org.jfree.data.time.TimeSeries,411,"    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }",UNCOV,0
Chart,17,66,ROR,"<(int,int)","<=(int,int)",org.jfree.data.time.TimeSeries,411,"    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }",UNCOV,0
Chart,17,67,ROR,"<(int,int)","FALSE(int,int)",org.jfree.data.time.TimeSeries,411,"    public Collection getTimePeriodsUniqueToOtherSeries(TimeSeries series) {

        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }",UNCOV,0
Chart,17,68,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,412,"
        Collection result = new java.util.ArrayList();
        for (int i = 0; i < series.getItemCount(); i++) {
            RegularTimePeriod period = series.getTimePeriod(i);
            int index = getIndex(period);
            if (index < 0) {
                result.add(period);
            }
        }
        return result;

    }
",UNCOV,0
Chart,17,69,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.data.time.TimeSeries,428,"     *
     * @param period  the time period (<code>null</code> not permitted).
     *
     * @return The index.
     */
    public int getIndex(RegularTimePeriod period) {
        if (period == null) {
            throw new IllegalArgumentException(""Null 'period' argument."");
        } 
        TimeSeriesDataItem dummy = new TimeSeriesDataItem(
              period, Integer.MIN_VALUE);
        return Collections.binarySearch(this.data, dummy);
    }",LIVE,0
Chart,17,70,LVR,0,POS,org.jfree.data.time.TimeSeries,458,"     *
     * @return The value (possibly <code>null</code>).
     */
    public Number getValue(RegularTimePeriod period) {

        int index = getIndex(period);
        if (index >= 0) {
            return getValue(index);
        }
        else {
            return null;
        }
",EXC,1
Chart,17,71,LVR,0,NEG,org.jfree.data.time.TimeSeries,458,"     *
     * @return The value (possibly <code>null</code>).
     */
    public Number getValue(RegularTimePeriod period) {

        int index = getIndex(period);
        if (index >= 0) {
            return getValue(index);
        }
        else {
            return null;
        }
",EXC,1
Chart,17,72,ROR,">=(int,int)","==(int,int)",org.jfree.data.time.TimeSeries,458,"     *
     * @return The value (possibly <code>null</code>).
     */
    public Number getValue(RegularTimePeriod period) {

        int index = getIndex(period);
        if (index >= 0) {
            return getValue(index);
        }
        else {
            return null;
        }
",LIVE,0
